key,provisional_key,source,entry_type
bok0123,ndl-R100000002-I000001951680,ndl,book
bok0124,ndl-R100000002-I000001993501,ndl,book
bok0125,ndl-R100000002-I000002044007,ndl,book
bok0126,ndl-R100000002-I000002105905,ndl,book
bok0127,ndl-R100000002-I000002117600,ndl,book
bok0128,ndl-R100000002-I000002224174,ndl,book
bok0129,ndl-R100000002-I000002250500,ndl,book
bok0130,ndl-R100000002-I000002263730,ndl,book
bok0131,ndl-R100000002-I000002291638,ndl,book
bok0132,ndl-R100000002-I000002311951,ndl,book
bok0133,ndl-R100000002-I000002313337,ndl,book
bok0134,ndl-R100000002-I000002333270,ndl,book
bok0135,ndl-R100000002-I000002365749,ndl,book
bok0136,ndl-R100000002-I000002379049,ndl,book
bok0137,ndl-R100000002-I000002404723,ndl,book
bok0138,ndl-R100000002-I000002440362,ndl,book
bok0139,ndl-R100000002-I000002497720,ndl,book
bok0140,ndl-R100000002-I000002541618,ndl,book
bok0141,ndl-R100000002-I000002544692,ndl,book
bok0142,ndl-R100000002-I000002567024,ndl,book
bok0143,ndl-R100000002-I000002649783,ndl,book
bok0144,ndl-R100000002-I000002768102,ndl,book
bok0145,ndl-R100000002-I000002805313,ndl,book
bok0146,ndl-R100000002-I000002936975,ndl,book
bok0147,ndl-R100000002-I000002959506,ndl,book
bok0148,ndl-R100000002-I000002966250,ndl,book
bok0149,ndl-R100000002-I000003638763,ndl,book
bok0150,ndl-R100000002-I000003989483,ndl,book
bok0151,ndl-R100000002-I000004218796,ndl,book
bok0152,ndl-R100000002-I000007671216,ndl,book
bok0153,ndl-R100000002-I000007681795,ndl,book
bok0154,ndl-R100000002-I000008234984,ndl,book
bok0155,ndl-R100000002-I000008304639,ndl,book
bok0156,ndl-R100000002-I000008535580,ndl,book
bok0157,ndl-R100000002-I000009186646,ndl,book
bok0158,ndl-R100000002-I000009206394,ndl,book
bok0159,ndl-R100000002-I000009286964,ndl,book
bok0160,ndl-R100000002-I000009517642,ndl,book
bok0161,ndl-R100000002-I000010072251,ndl,book
bok0162,ndl-R100000002-I000010670813,ndl,book
bok0163,ndl-R100000002-I000011227138,ndl,book
bok0164,ndl-R100000002-I023114643,ndl,book
bok0165,ndl-R100000002-I023975151,ndl,book
bok0166,ndl-R100000002-I023999065,ndl,book
bok0167,ndl-R100000002-I024027226,ndl,book
bok0168,ndl-R100000002-I024174340,ndl,book
bok0169,ndl-R100000002-I024193534,ndl,book
bok0170,ndl-R100000002-I024254243,ndl,book
bok0171,ndl-R100000002-I024384036,ndl,book
bok0172,ndl-R100000002-I024398280,ndl,book
bok0173,ndl-R100000002-I024418466,ndl,book
bok0174,ndl-R100000002-I024871586,ndl,book
bok0175,ndl-R100000002-I024871608,ndl,book
bok0176,ndl-R100000002-I025130479,ndl,book
bok0177,ndl-R100000002-I025250482,ndl,book
bok0178,ndl-R100000002-I025294984,ndl,book
bok0179,ndl-R100000002-I025354286,ndl,book
bok0180,ndl-R100000002-I025387559,ndl,book
bok0181,ndl-R100000002-I025500438,ndl,book
bok0182,ndl-R100000002-I026246137,ndl,book
bok0183,ndl-R100000002-I026411668,ndl,book
bok0184,ndl-R100000002-I026442214,ndl,book
bok0185,ndl-R100000002-I026751590,ndl,book
bok0186,ndl-R100000002-I027074733,ndl,book
bok0187,ndl-R100000002-I027190040,ndl,book
bok0188,ndl-R100000002-I027227873,ndl,book
bok0189,ndl-R100000002-I027241907,ndl,book
bok0190,ndl-R100000002-I027669783,ndl,book
bok0191,ndl-R100000002-I027842897,ndl,book
bok0192,ndl-R100000002-I027926986,ndl,book
bok0193,ndl-R100000002-I027970380,ndl,book
bok0194,ndl-R100000002-I028035569,ndl,book
bok0195,ndl-R100000002-I028175420,ndl,book
bok0196,ndl-R100000002-I028384600,ndl,book
bok0197,ndl-R100000002-I028393594,ndl,book
bok0198,ndl-R100000002-I028570971,ndl,book
bok0199,ndl-R100000002-I028577364,ndl,book
bok0200,ndl-R100000002-I028760863,ndl,book
bok0201,ndl-R100000002-I028810000,ndl,book
bok0202,ndl-R100000002-I028824171,ndl,book
bok0203,ndl-R100000002-I028865289,ndl,book
bok0204,ndl-R100000002-I028891922,ndl,book
bok0205,ndl-R100000002-I028934215,ndl,book
bok0206,ndl-R100000002-I028952930,ndl,book
bok0207,ndl-R100000002-I029110928,ndl,book
bok0208,ndl-R100000002-I029169011,ndl,book
bok0209,ndl-R100000002-I029186685,ndl,book
bok0210,ndl-R100000002-I029418340,ndl,book
bok0211,ndl-R100000002-I030085391,ndl,book
bok0212,ndl-R100000002-I030098369,ndl,book
bok0213,ndl-R100000002-I030113545,ndl,book
bok0214,ndl-R100000002-I030228259,ndl,book
bok0215,ndl-R100000002-I030408164,ndl,book
bok0216,ndl-R100000002-I030438768,ndl,book
bok0217,ndl-R100000002-I030484615,ndl,book
bok0218,ndl-R100000002-I031365532,ndl,book
bok0219,ndl-R100000002-I031544876,ndl,book
bok0220,ndl-R100000002-I031703957,ndl,book
bok0221,ndl-R100000002-I031820719,ndl,book
bok0222,ndl-R100000002-I031840232,ndl,book
bok0223,ndl-R100000002-I031906471,ndl,book
bok0224,ndl-R100000002-I032160309,ndl,book
bok0225,ndl-R100000002-I032504500,ndl,book
bok0226,ndl-R100000002-I032625148,ndl,book
bok0227,ndl-R100000002-I032746294,ndl,book
bok0228,ndl-R100000002-I033037651,ndl,book
bok0229,ndl-R100000002-I033159054,ndl,book
bok0230,ndl-R100000002-I033323645,ndl,book
bok0231,ndl-R100000002-I033438193,ndl,book
bok0232,ndl-R100000002-I033541503,ndl,book
bok0233,ndl-R100000002-I033548681,ndl,book
bok0234,ndl-R100000002-I033838287,ndl,book
bok0235,ndl-R100000002-I033905467,ndl,book
bok0236,ndl-R100000002-I034221524,ndl,book
bok0237,ndl-R100000002-I034249280,ndl,book
bok0238,ndl-R100000002-I034480225,ndl,book
bok0239,ndl-R100000002-I034516538,ndl,book
bok0240,ndl-R100000002-I034714816,ndl,book
bok0241,ndl-R100000002-I034774167,ndl,book
bok0242,ndl-R100000136-I1970304959838111639,ndl,book
bok0243,ndl-R100000136-I1970304959918429447,ndl,book
bok0244,ndl-R100000136-I1970586434828518563,ndl,book
bok0245,ndl-R100000136-I1970586434935430096,ndl,book
bok0246,ndl-R100000136-I1970867909860757504,ndl,book
bok0247,ndl-R100000136-I1970867909913481010,ndl,book
bok0248,ndl-R100000136-I1971149384884957318,ndl,book
bok0249,ndl-R100000136-I1971712334823934466,ndl,book
web0001,webmisc-000001,webmisc,misc
web0002,webmisc-000002,webmisc,misc
web0003,webmisc-000003,webmisc,misc
web0004,webmisc-000004,webmisc,misc
web0005,webmisc-000005,webmisc,misc
web0006,webmisc-000006,webmisc,misc
web0007,webmisc-000007,webmisc,misc
web0008,webmisc-000008,webmisc,misc
web0009,webmisc-000009,webmisc,misc
web0010,webmisc-000010,webmisc,misc
web0011,webmisc-000011,webmisc,misc
web0012,webmisc-000012,webmisc,misc
web0013,webmisc-000013,webmisc,misc
web0014,webmisc-000014,webmisc,misc
web0015,webmisc-000015,webmisc,misc
web0016,webmisc-000016,webmisc,misc
web0017,webmisc-000017,webmisc,misc
web0018,webmisc-000018,webmisc,misc
web0019,webmisc-000019,webmisc,misc
web0020,webmisc-000020,webmisc,misc
web0021,webmisc-000021,webmisc,misc
web0022,webmisc-000022,webmisc,misc
web0023,webmisc-000023,webmisc,misc
web0024,webmisc-000024,webmisc,misc
web0025,webmisc-000025,webmisc,misc
web0026,webmisc-000026,webmisc,misc
web0027,webmisc-000027,webmisc,misc
web0028,webmisc-000028,webmisc,misc
web0029,webmisc-000029,webmisc,misc
web0030,webmisc-000030,webmisc,misc
web0031,webmisc-000031,webmisc,misc
web0032,webmisc-000032,webmisc,misc
web0033,webmisc-000033,webmisc,misc
web0034,webmisc-000034,webmisc,misc
web0035,webmisc-000035,webmisc,misc
web0036,webmisc-000036,webmisc,misc
web0037,webmisc-000037,webmisc,misc
web0038,webmisc-000038,webmisc,misc
web0039,webmisc-000039,webmisc,misc
web0040,webmisc-000040,webmisc,misc
web0041,webmisc-000041,webmisc,misc
web0042,webmisc-000042,webmisc,misc
web0043,webmisc-000043,webmisc,misc
web0044,webmisc-000044,webmisc,misc
web0045,webmisc-000045,webmisc,misc
web0046,webmisc-000046,webmisc,misc
web0047,webmisc-000047,webmisc,misc
web0048,webmisc-000048,webmisc,misc
web0049,webmisc-000049,webmisc,misc
web0050,webmisc-000050,webmisc,misc
web0051,webmisc-000051,webmisc,misc
web0052,webmisc-000052,webmisc,misc
web0053,webmisc-000053,webmisc,misc
web0054,webmisc-000054,webmisc,misc
web0055,webmisc-000055,webmisc,misc
web0056,webmisc-000056,webmisc,misc
web0057,webmisc-000057,webmisc,misc
web0058,webmisc-000058,webmisc,misc
web0059,webmisc-000059,webmisc,misc
web0060,webmisc-000060,webmisc,misc
web0061,webmisc-000061,webmisc,misc
web0062,webmisc-000062,webmisc,misc
web0063,webmisc-000063,webmisc,misc
web0064,webmisc-000064,webmisc,misc
web0065,webmisc-000065,webmisc,misc
web0066,webmisc-000066,webmisc,misc
web0067,webmisc-000067,webmisc,misc
web0068,webmisc-000068,webmisc,misc
web0069,webmisc-000069,webmisc,misc
web0070,webmisc-000070,webmisc,misc
web0071,webmisc-000071,webmisc,misc
web0072,webmisc-000072,webmisc,misc
web0073,webmisc-000073,webmisc,misc
web0074,webmisc-000074,webmisc,misc
web0075,webmisc-000075,webmisc,misc
web0076,webmisc-000076,webmisc,misc
web0077,webmisc-000077,webmisc,misc
web0078,webmisc-000078,webmisc,misc
web0079,webmisc-000079,webmisc,misc
web0080,webmisc-000080,webmisc,misc
web0081,webmisc-000081,webmisc,misc
web0082,webmisc-000082,webmisc,misc
web0083,webmisc-000083,webmisc,misc
web0084,webmisc-000084,webmisc,misc
web0085,webmisc-000085,webmisc,misc
web0086,webmisc-000086,webmisc,misc
web0087,webmisc-000087,webmisc,misc
web0088,webmisc-000088,webmisc,misc
web0089,webmisc-000089,webmisc,misc
web0090,webmisc-000090,webmisc,misc
web0091,webmisc-000091,webmisc,misc
web0092,webmisc-000092,webmisc,misc
web0093,webmisc-000093,webmisc,misc
web0094,webmisc-000094,webmisc,misc
web0095,webmisc-000095,webmisc,misc
web0096,webmisc-000096,webmisc,misc
web0097,webmisc-000097,webmisc,misc
web0098,webmisc-000098,webmisc,misc
web0099,webmisc-000099,webmisc,misc
web0100,webmisc-000100,webmisc,misc
web0101,webmisc-000101,webmisc,misc
web0102,webmisc-000102,webmisc,misc
web0103,webmisc-000103,webmisc,misc
web0104,webmisc-000104,webmisc,misc
web0105,webmisc-000105,webmisc,misc
web0106,webmisc-000106,webmisc,misc
web0107,webmisc-000107,webmisc,misc
web0108,webmisc-000108,webmisc,misc
web0109,webmisc-000109,webmisc,misc
web0110,webmisc-000110,webmisc,misc
web0111,webmisc-000111,webmisc,misc
web0112,webmisc-000112,webmisc,misc
web0113,webmisc-000113,webmisc,misc
web0114,webmisc-000114,webmisc,misc
web0115,webmisc-000115,webmisc,misc
web0116,webmisc-000116,webmisc,misc
web0117,webmisc-000117,webmisc,misc
web0118,webmisc-000118,webmisc,misc
web0119,webmisc-000119,webmisc,misc
web0120,webmisc-000120,webmisc,misc
web0121,webmisc-000121,webmisc,misc
web0122,webmisc-000122,webmisc,misc
web0123,webmisc-000123,webmisc,misc
web0124,webmisc-000124,webmisc,misc
web0125,webmisc-000125,webmisc,misc
web0126,webmisc-000126,webmisc,misc
web0127,webmisc-000127,webmisc,misc
web0128,webmisc-000128,webmisc,misc
web0129,webmisc-000129,webmisc,misc
web0130,webmisc-000130,webmisc,misc
web0131,webmisc-000131,webmisc,misc
web0132,webmisc-000132,webmisc,misc
web0133,webmisc-000133,webmisc,misc
web0134,webmisc-000134,webmisc,misc
web0135,webmisc-000135,webmisc,misc
web0136,webmisc-000136,webmisc,misc
web0137,webmisc-000137,webmisc,misc
web0138,webmisc-000138,webmisc,misc
web0139,webmisc-000139,webmisc,misc
web0140,webmisc-000140,webmisc,misc
web0141,webmisc-000141,webmisc,misc
web0142,webmisc-000142,webmisc,misc
web0143,webmisc-000143,webmisc,misc
web0144,webmisc-000144,webmisc,misc
web0145,webmisc-000145,webmisc,misc
web0146,webmisc-000146,webmisc,misc
web0147,webmisc-000147,webmisc,misc
web0148,webmisc-000148,webmisc,misc
web0149,webmisc-000149,webmisc,misc
web0150,webmisc-000150,webmisc,misc
web0151,webmisc-000151,webmisc,misc
web0152,webmisc-000152,webmisc,misc
web0153,webmisc-000153,webmisc,misc
web0154,webmisc-000154,webmisc,misc
web0155,webmisc-000155,webmisc,misc
web0156,webmisc-000156,webmisc,misc
web0157,webmisc-000157,webmisc,misc
web0158,webmisc-000158,webmisc,misc
web0159,webmisc-000159,webmisc,misc
web0160,webmisc-000160,webmisc,misc
web0161,webmisc-000161,webmisc,misc
web0162,webmisc-000162,webmisc,misc
web0163,webmisc-000163,webmisc,misc
web0164,webmisc-000164,webmisc,misc
web0165,webmisc-000165,webmisc,misc
web0166,webmisc-000166,webmisc,misc
web0167,webmisc-000167,webmisc,misc
web0168,webmisc-000168,webmisc,misc
web0169,webmisc-000169,webmisc,misc
web0170,webmisc-000170,webmisc,misc
web0171,webmisc-000171,webmisc,misc
web0172,webmisc-000172,webmisc,misc
web0173,webmisc-000173,webmisc,misc
web0174,webmisc-000174,webmisc,misc
web0175,webmisc-000175,webmisc,misc
web0176,webmisc-000176,webmisc,misc
web0177,webmisc-000177,webmisc,misc
web0178,webmisc-000178,webmisc,misc
web0179,webmisc-000179,webmisc,misc
web0180,webmisc-000180,webmisc,misc
web0181,webmisc-000181,webmisc,misc
web0182,webmisc-000182,webmisc,misc
web0183,webmisc-000183,webmisc,misc
web0184,webmisc-000184,webmisc,misc
web0185,webmisc-000185,webmisc,misc
web0186,webmisc-000186,webmisc,misc
web0187,webmisc-000187,webmisc,misc
web0188,webmisc-000188,webmisc,misc
web0189,webmisc-000189,webmisc,misc
web0190,webmisc-000190,webmisc,misc
web0191,webmisc-000191,webmisc,misc
web0192,webmisc-000192,webmisc,misc
web0193,webmisc-000193,webmisc,misc
web0194,webmisc-000194,webmisc,misc
